domain,total_seconds,per_iter
apple2orange,2054.129503965378,0.10270647519826889
horse2zebra,2027.741547346115,0.10138707736730576
milk2bubblemilk,2017.1610050201416,0.10085805025100708
vanilla2chocolate,2031.1229774951935,0.10155614887475968
AVERAGE,2032.538758456707,0.10162693792283535
